ID;Empresa;Año_creacion;CNAE_SECTOR;num_cnae;CNAE;Objeto_social;CNAE_SECCIÓN;CNAE_DIVISIÓN;Sector;Localidad;Provincia;Ventas;Empleados;Telefono;Web;Email
156;Planeta Huerto Sl;1998;Servicios;4791;4791 - comercio al por menor por correspondencia o internet;comercio al por menor de productos destinados a huerto y jardinería y venta por correo o catalogo, venta online.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;otros_comercios;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966371130;www.planetahuerto.es;b2b@planetahuerto.es
157;Hidrotecnoagua Sl;2006;Industria;2223;2223 - fabricación de productos de plástico para la construcción;fabricación de productos hidro-sanitarios;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965674169;www.hidrotecnoagua.com;info@hidrotecnoagua.com
158;Endal Sl;1986;Industria;2592;2592 - fabricación de envases y embalajes metálicos ligeros;fabricación de envases de aluminio.;Industria manufacturera;Fabricación de productos metálicos, excepto maquinaria y equipo;fabricacion_industrial;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965661472;www.endal.es;info@endal.es
159;Impursa Sa;1992;Servicios;7311;7311 - agencias de publicidad;servicios de publicidad exterior.; Actividades profesionales, científicas y técnicas;Publicidad y estudios de mercado;publicidad_marketing;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 25 y 50;916238207;www.exteriorplus.es;info@exteriorplus.es
160;Safari Sub Sl;1975;Industria;2219;2219 - fabricación de otros productos de caucho;fabricación y comercialización de artículos de playa.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965668833;www.safarisub.com;alicante@safarisub.com
161;World Cars City Sl;2019;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;venta de todo tipo de automóviles.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Menos de 5;965 500 533;www.worldcars.es/comprar-coches-ocasion/sanvicente;hola@worldcars.es
162;Carmado S.l;2002;Industria;2042;2042 - fabricación de perfumes y cosméticos;fabricación y comercialización de perfumes y cosméticos para clínicas medicas.;Industria manufacturera;Industria química;perfumeria_cosmeticos;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966448434;www.skinclinic.es;info@skinclinic.es
163;Newchem Sl;2005;Servicios;4675;4675 - comercio al por mayor de productos químicos;fabricación y distribución de productos químicos para el tratamiento de aguas.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;quimico;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965677295;www.newchem.es;info@newchem.es
164;Hepoluz Sl;1993;Servicios;4643;4643 - comercio al por mayor de aparatos electrodomésticos;comercio al por mayor de electricidad, ferretería, fontanería y calefacción.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965677060;www.hepoluz.es;hepoluz@hepoluz.es
165;Naturhogar Slu;2005;Servicios;4643;4643 - comercio al por mayor de aparatos electrodomésticos;comercialización de productos eléctricos para el hogar.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965105125;www.newlux.net;info@newlux.net
166;Colas Y Adhesivos Obrador Sa;1994;Industria;2052;2052 - fabricación de colas;fabricación de colas y adhesivos.;Industria manufacturera;Industria química;quimico;San Vicente Del Raspeig;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965665905;www.composan-adhesivos.com;comercial@obradoradhesivos.com
167;Inmaculada Paya Sl;2016;Servicios;4636;4636 - comercio al por mayor de azúcar, chocolate y confitería;distribuidor de bombones, chocolates, caramelos, piruletas, golosinas y dulces.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;alimentacion;San Vicente Del Raspeig;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965669389;www.inmaculadapaya.com;inmaculadapaya@inmaculadapaya.com
168;Colina Cimar Sl;1993;Industria;812;"0812 - extracción de gravas y arenas; extracción de arcilla y caolín";comercio al por mayor y distribución de materiales de construcción.;Industrias extractivas;Otras industrias extractivas;otros_comercios;San Vicente Del Raspeig;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965728063;----;info@starmis
169;Marketing Alternativa Productos España Sl;1995;Servicios;4639;4639 - comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco;comercio al por mayor de todo tipo de productos alimenticios.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;bebidas;San Vicente Del Raspeig;Alicante;Entre 3 y 6 millones;Menos de 5;965671356;www.mapproduct.es;info@mapproduct.es
170;Habitat San Vicente Sl;2002;Construcción;4110;4110 - promoción inmobiliaria;la compraventa de terrenos rusticos y urbanos, promocion, construccion, arrendamiento y compraventa de viviendas y locales, asi como el negocio inmobiliario en general.;Construcción;Construcción de edificios;construccion;San Vicente Del Raspeig;Alicante;Entre 3 y 6 millones;Menos de 5;965671821;www.arquitecturadirecta.com;pablo@hsv.es
171;Eventual Sl;2012;Servicios;7729;7729 - alquiler de otros efectos personales y artículos de uso doméstico;realización de eventos y actividades de impresión de artes gráficas.;Actividades administrativas y servicios auxiliares;Actividades de alquiler;artes_graficas;San Vicente Del Raspeig;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965671028;www.eventual.es;administración@eventual.com.es
172;Rhostelev Sl;2007;Servicios;4669;4669 - comercio al por mayor de otra maquinaria y equipo;comercio mayor de maquinaria industrial para hostelería;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;fabricacion_industrial;San Vicente Del Raspeig;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965672724;www.rhostelev.com;info@rhostelev.com
173;Industrias Hoteleras Del Mediterraneo Sl;1977;Servicios;5510;5510 - hoteles y alojamientos similares;explotación y gestión de cadena hoteles.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Mayor 30 millones;Mas de 250;965851121;www.magiccostablanca.com;allorca@hoteles-costablanca.com
174;Ona Sol Sl;1990;Servicios;5510;5510 - hoteles y alojamientos similares;explotación y gestión de cadena hotelera de cuatro, tres y dos estrellas.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Mayor 30 millones;Mas de 250;965867863;www.porthotels.es;info@porthotels.es
175;Centro Medico Salus Baleares Sl;2000;Servicios;8622;8622 - actividades de medicina especializada;gestión y explotación de centro médico.;Actividades sanitarias y de servicios sociales;Actividades sanitarias;sanitario;Benidorm;Alicante;Mayor 30 millones;Mas de 250;965853850;www.clinicabenidorm.com;hospital@clinicabenidorm.com
176;Hoteles Devesa Sl;1978;Servicios;5510;5510 - hoteles y alojamientos similares;explotación de hoteles de 3 y 4 estrellas.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Mayor 30 millones;Mas de 250;965850200;www.hotelesposeidon.com;poseidon@hotelesposeidon.com
177;Saltoki Benidorm Sl;2020;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;la compra, elaboración, montaje, almacenaje y posterior venta, distribución e instalación de i. aparatos sanitarios, ii. elementos de ferretería, fontanería, saneamiento, calefacción y climatización, iii. materiales, equipos y aparatos para iluminación y proyectos de electricidad y otros;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965863411;www.saltoki.com;atencionalcliente@saltoki.com
178;Aqualandia España, Sa;1984;Servicios;9329;9329 - otras actividades recreativas y de entretenimiento;gestión y explotación de parque de atracciones acuático.;Actividades artísticas, recreativas y de entrenimiento;Actividades deportivas, recreativas y de entretenimiento;parque_atracciones;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965869101;www.aqualandia.net;aqualandia@aqualandia.net
179;Peñamar Sl;1972;Servicios;5510;5510 - hoteles y alojamientos similares;gestión de hotel de 4 estrellas.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;964480650;www.servigroup.es;servigroup@servigroup.es
180;Hobali Sa;1978;Servicios;5510;5510 - hoteles y alojamientos similares;hotel de 4 estrellas;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966802403;www.grupobali.com;administración@grupobali.com
181;Bingo Plaza Sa;1983;Servicios;9200;9200 - actividades de juegos de azar y apuestas;explotación y gestión de bingo;Actividades artísticas, recreativas y de entrenimiento;Actividades de juegos de azar y apuestas;juegos de azar;Benidorm;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965858609;----;grupoplaza@grupoplaza.org
182;Loix Sport Sl;1985;Servicios;4764;4764 - comercio al por menor de artículos deportivos en establecimientos especializados;comercio al menor de prendas de vestir y ropa deportiva.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;textil;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965858030;www.base.net;loix@base.net
183;Servihotel Sl;1972;Servicios;4639;4639 - comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco;comercialización y suministro de productos alimenticios para el grupo de hoteles de la cadena.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;bebidas;Benidorm;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965850660;www.servigroup.com;servihotel@servigroup.es
184;Promociones Financieras Turisticas Sa;1973;Servicios;5510;5510 - hoteles y alojamientos similares;explotación de un hotel de 4 estrellas de la cadena meliá;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966813710;www.profitur.es;administracion.melia.benidorm@melia.com
185;Morgantavern Sa;1998;Servicios;5630;5630 - establecimientos de bebidas;servicios de hostelería.;Hostelería;Servicios de comidas y bebidas;bebidas;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965861111;www.hotelesbenidorm.com;oficina01@hotelesbenidorm.com
186;Magic Terra Natura Sl;2013;Servicios;5520;5520 - alojamientos turísticos y otros alojamientos de corta estancia;resort turístico con cabañas ubicado junto a terra natura.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965851121;www.magicnatura.com;yfernandez@hoteles-costablanca.com
187;Terra Mitica Parque Tematico De Benidorm, Sa;1998;Servicios;9321;9321 - actividades de los parques de atracciones y los parques temáticos;"explotación y gestión del parque temático ""terra mitica"".";Actividades artísticas, recreativas y de entrenimiento;Actividades deportivas, recreativas y de entretenimiento;parque_atracciones;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965004300;www.terramiticapark.com;proveedores@terramiticapark.com
188;Hotel Tres Coronas Sl;1997;Servicios;5510;5510 - hoteles y alojamientos similares;gestión de hotel de cuatro estrellas;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965853040;www.hotelesrh.com;coronadelmar@hotelesrh.com
189;Topasol Sa;1969;Servicios;5510;5510 - hoteles y alojamientos similares;gestión de hotel de cuatro estrellas;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965852966;www.hoteldonpancho.es;mail@hoteldonpancho.es
190;Clinica Londres Sl;2017;Servicios;8622;8622 - actividades de medicina especializada;gestión y explotación de clínica de cirugía estética.;Actividades sanitarias y de servicios sociales;Actividades sanitarias;sanitario;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;900833878;www.clinicalondres.es;comunicaciones@clinicalondres.es
191;Cementos Benidorm Sa;1979;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;comercio al por mayor de materiales de construcción fontanería piscinas y riego.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Benidorm;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965851221; www.cementosbenidorm.com;atencionclientes@cb-mat.com
192;Terra Natura Sa;1999;Servicios;9104;9104 - actividades de los jardines botánicos, parques zoológicos y reservas naturales;gestión y explotación de parque zoológico.;Actividades artísticas, recreativas y de entrenimiento;Actividades de bibliotecas, archivos, museos y otras actividades culturales;parque_atracciones;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966072770;www.terranatura.com;reservas@terranatura.com
193;Gestion Hotelera La Marina Sl;2001;Servicios;5510;5510 - hoteles y alojamientos similares;explotación y gestión de hotel de 4 estrellas.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965853762; www.lamarinagroup.com;info@lamarinagroup.com
194;Madeira Sociedad Limitada;1973;Servicios;5510;5510 - hoteles y alojamientos similares;gestión de hotel de cuatro estrellas;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965854950;www.madeiracentro.com;hotel@madeiracentro.com
195;Autocares Grupo Benidorm Sl;1999;Servicios;4939;4939 - otros tipos de transporte terrestre de pasajeros n.c.o.p.;transporte discrecional de viajeros en autocar.;Transporte y almacenamiento;Transporte terrestre y por tubería;transportes;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966801850;www.autocaresgrupobenidorm.com;info@autocaresgrupobenidorm.com
196;Erumar Sl;1987;Servicios;5510;5510 - hoteles y alojamientos similares;hotel de 3 estrellas.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965853150;www.servigroup.es;servihotel@servigroup.es
197;Benisol Sl;1970;Servicios;5510;5510 - hoteles y alojamientos similares;gestión y explotación de un hotel de 4 estrellas.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965861111;www.hotelesbenidorm.com;presidente@hotelesbenidorm.com
198;Garcisol Sl;1972;Servicios;5510;5510 - hoteles y alojamientos similares;explotación y gestión de hoteles.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965852466;www.servigroup.es;publicidad@servigroup.es
199;Dynastic Explotaciones Sl;2004;Servicios;5510;5510 - hoteles y alojamientos similares;hoteles de 2, 3 y 4 estrellas con spa y restaurante;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965853600;www.hoteldynastic.com;info@dynasticresorts.com
200;Chef Maestro Horeca Sl;2013;Servicios;4631;4631 - comercio al por mayor de frutas y hortalizas;comercio al por mayor y menor de frutas de temporada y hortalizas frescas;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;alimentacion;Benidorm;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965860744;www.chefmaestro.es;pedidos.benn@chefmaestro.es
201;Nou Hotel Sl;1988;Servicios;5510;5510 - hoteles y alojamientos similares;gestión y explotación de 2 hoteles de 4 estrellas.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965853939;www.hotelesrh.com;royal@hotelesrh.com
202;Promociones Turisticas Amadorio Sa;1972;Servicios;5510;5510 - hoteles y alojamientos similares;gestión y explotación de hoteles.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965855200;www.sandos.es;monaco@sandos.es
203;Bobante Distribuciones Sl;2010;Servicios;4617;4617 - intermediarios del comercio de productos alimenticios, bebidas y tabaco;comercio al por mayor de cerveza,refrescos y productos alimenticios.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;bebidas;Benidorm;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965850455;www.bobante.com;comercial@bobante.com
204;Hotel Cimbel Sl;1987;Servicios;5510;5510 - hoteles y alojamientos similares;gestión de hotel de cuatro estrellas;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965852100;www.hotelcimbel.com;cimbel@hotelcimbel.com
205;Maysu Sa;1981;Servicios;5510;5510 - hoteles y alojamientos similares;explotacion y gestión de hoteles.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965867863;www.porthotels.es;reservas@fiestapark.com
206;Juani Sl;1971;Servicios;5510;5510 - hoteles y alojamientos similares;hotel de 4 estrellas superior y restaurante.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965854450;www.servigroup.es;gestoria@servigroup.es
207;Sun Beach Point Sl;2010;Servicios;5510;5510 - hoteles y alojamientos similares;hotel de 4 estrellas superior;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965850203;www.belroy.es;info@belroy.es
208;Bingos Benidorm Sa;1993;Servicios;9200;9200 - actividades de juegos de azar y apuestas;explotación y gestión de sala de bingo y actividades complementarias.;Actividades artísticas, recreativas y de entrenimiento;Actividades de juegos de azar y apuestas;juegos de azar;Benidorm;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966808019;----;mmenas@cirsa.com
209;Recreativos Galera Sl;1997;Servicios;9329;9329 - otras actividades recreativas y de entretenimiento;explotación de maquinas recreativas;Actividades artísticas, recreativas y de entrenimiento;Actividades deportivas, recreativas y de entretenimiento;juegos de azar;Benidorm;Alicante;Entre 3 y 6 millones;Entre 50 y 250;966800502;www.grupogalera.com;deportivo@grupogalera.com
210;Hoteles Tecnicos Sl;1993;Servicios;5510;5510 - hoteles y alojamientos similares;explotación y gestión de hotel de cuatro estrellas.;Hostelería;Servicios de alojamiento;hotelero;Benidorm;Alicante;Entre 3 y 6 millones;Entre 50 y 250;965861111;www.hotelesbenidorm.com;administracion@hotelesbenidorm.com
211;Nexiapharma Sl;1970;Servicios;4646;4646 - comercio al por mayor de productos farmacéuticos;"a.- la fabricacion, compraventa, comercializacion; distribucion; almacenamiento, representacion, importacion y exportacion, en su propio nombre o por cuenta de terceros, de medicamentos, productos sanitarios, plantas med";"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;sanitario;Alicante;Alicante;Mayor 30 millones;Entre 25 y 50;900533721;www.alliancehealthcare.com;maite.calvo@skills-in-healthcare.es
212;Euro Pool System España Sl;1998;Servicios;7739;7739 - alquiler de otra maquinaria, equipos y bienes tangibles n.c.o.p.;servicios logísticos para embalaje estándar reutilizable;Actividades administrativas y servicios auxiliares;Actividades de alquiler;fabricacion_industrial;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965117171;www.europoolsystem.com;info.es@europoolsystem.com
213;Aceitunas Cazorla Sl;1985;Industria;1039;1039 - otro procesado y conservación de frutas y hortalizas;elaboración ,envasado y comercialización de aceitunas y encurtidos;Industria manufacturera;Industria de la alimentación;alimentacion;Alicante;Alicante;Mayor 30 millones;Entre 25 y 50;965109090;www.aceitunascazorla.com;comercial@accazorla.com
214;Hidraqua, Gestion Integral De Aguas De Levante Sa;1997;Industria;3600;3600 - captación, depuración y distribución de agua;gestión del ciclo integral del agua (potabilización y distribución de agua);Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Captación, depuración y distribución de agua;otros_comercios;Alicante;Alicante;Mayor 30 millones;Mas de 250;965138201;www.hidraqua.es;hidraqua@hidraqua.es
215;Fabricas Agrupadas De Muñecas De Onil Sau;2005;Industria;3240;3240 - fabricación de juegos y juguetes;fabricación y venta de juguetes y muñecas;Industria manufacturera;Otras industrias manufactureras;juguetes;Alicante;Alicante;Mayor 30 millones;Mas de 250;966544600;www.famosa.es;contacta@famosa.es
216;Aliaxis Iberia Sa;1965;Industria;2221;2221 - fabricación de placas, hojas, tubos y perfiles de plástico;fabricación de otros productos de plástico, principalmente materiales y piezas para la fontanería tales como sifones, válvulas de desagüe.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Alicante;Alicante;Mayor 30 millones;Mas de 250;965109044;www.aliaxis.com;jquiles@aliaxis.com
217;Constantino Gutierrez Sa;1972;Industria;2015;2015 - fabricación de fertilizantes y compuestos nitrogenados;comercio al por mayor de fertilizantes.;Industria manufacturera;Industria química;fabricacion_industrial;Alicante;Alicante;Mayor 30 millones;Entre 25 y 50;965288544;----;proveedores@medifer.es
218;Orion Tour Sl;2015;Servicios;7911;7911 - actividades de las agencias de viajes;agencias de viaje. (mayoristas).;Actividades administrativas y servicios auxiliares;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;agencias de viajes;Alicante;Alicante;Mayor 30 millones;Menos de 5;617967729;www.oriontour.es;info@oriontour.es
219;Medimotors Premium Sl;2005;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;la compraventa, reparacion y servicios de toda clase de vehiculos automoviles, tanto nuevos como usados;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965106272;www.medimotorspremium.toyota.es;administración@medimotorspremium.com
220;Valgauto Motor Sl;2001;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;concesionario oficial kia.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965992100;www.valgautomotor.com;kia@valgauto.es
221;Hijos De Manuel Crespo Sa;1980;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;venta y reparación de vehículos, servicio oficial mercedes.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965266100;www.hijosdemanuelcrespo.es;info@hmcrespo.es
222;Verne Telecom Sl;2013;Servicios;6110;6110 - telecomunicaciones por cable;ingeniería e instalaciones de telecomunicaciones (ciberseguridad);Información y comunicaciones;Telecomunicaciones;telecomunicaciones;Alicante;Alicante;Mayor 30 millones;Mas de 250;965398525;www.vernegroup.com;info@vernegroup.com
223;Sm Resinas Sl;1999;Servicios;4675;4675 - comercio al por mayor de productos químicos;comercio al por mayor de resinas poliolefinas.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;quimico;Alicante;Alicante;Mayor 30 millones;Entre 5 y 25;965109003;www.smresinas.com;info@smresinas.com
224;Scalevante Sa;1993;Servicios;4519;4519 - venta de otros vehículos de motor;venta y reparación de vehículos industriales. servicio oficial scania.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965115400;www.scalevante.es;scalevante@scalevante.com
225;Repuestos Serca Sl;2006;Servicios;4531;4531 - comercio al por mayor de repuestos y accesorios de vehículos de motor;comercio al por menor y mayor de repuestos de automóviles;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Mayor 30 millones;Mas de 250;965989999;www.tutallerad.com;administracion@repuestos-serca.es
226;Sala Hermanos Sl;2013;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;concesionario oficial volkswagen y servicio posventa;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Mayor 30 millones;Entre 25 y 50;965163900;www.gruposala.com;sucre@salahermanos.es
227;Clinica Vistahermosa Grupo Hla Sl;2016;Servicios;8610;8610 - actividades hospitalarias;gestión de clínica hospitalaria.;Actividades sanitarias y de servicios sociales;Actividades sanitarias;sanitario;Alicante;Alicante;Mayor 30 millones;Mas de 250;965264200;www.clinica-vistahermosa.es;----
228;Vithas Alicante Sl;1944;Servicios;8610;8610 - actividades hospitalarias;a- la construcción, instalación, adquisición o enajenación, por cuenta propia o ajena, de toda clase de edificios destinados, en su totalidad o en parte, a la actividad asistencial en todas sus ramas y especialidades, de forma parcial o integrada, y a la hospitalización. b- la explotación mercantil.;Actividades sanitarias y de servicios sociales;Actividades sanitarias;sanitario;Alicante;Alicante;Mayor 30 millones;Mas de 250;965230332;www.vithas.es;infoperpetuo@vithas.es
229;Alljuicemed Sl;2017;Industria;1032;1032 - elaboración de zumos de frutas y hortalizas;elaboración y comercio al por mayor de zumos concentrados de frutas.;Industria manufacturera;Industria de la alimentación;alimentacion;Alicante;Alicante;Mayor 30 millones;Entre 5 y 25;611656381;www.alljuicemed.com;info@alljuicemed.com
230;Suavinex Group Sl;1980;Industria;2041;2041 - fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento;fabricación de productos de puericultura ligera: jabones, cremas, chupetes, biberones....;Industria manufacturera;Industria química;fabricacion_industrial;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965107002;www.suavinex.com;gruposuavinex@gruposuavinex.com
231;Movil Begar Levante Sa;2004;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;concesionario oficial bmw. venta y taller de reparación de vehículos.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965101620; www.movilbegar.concesionariobmw.es;movilbegar@movilbegar.net.bmw.es
232;Smart Polymers Sl;2006;Servicios;4675;4675 - comercio al por mayor de productos químicos;venta y distribución de polímeros;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;quimico;Alicante;Alicante;Mayor 30 millones;Entre 5 y 25;965109003;www.smartpolymers.com;info@smresinas.com
233;Pompadour Iberica Sa;1969;Industria;1083;1083 - elaboración de café, té e infusiones;elaboración y envasado de infusiones en general.;Industria manufacturera;Industria de la alimentación;especias_infusiones;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965111658;www.pompadour.es;comercial@pompadour.es
